Key,FinancialCase,CostCase,CRPYears,Technology,TechDetail,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
RC3OfOTRG11,RD,Conservative,30,OffShoreWind,OTRG1,4066.303866,3941.928441,3865.547449,3797.214347,3735.243026,3678.750947,3627.156708,3580.017685,3536.964202,3497.668636,3461.829313,3429.161452,3399.391737,3372.254915,3347.491566,3324.84659,3304.068164,3284.906988,3267.115741,3250.448672,3234.661296,3219.510157,3204.752643,3190.146846,3175.451446,3160.425614,3144.828946,3128.421394,3110.963219,3092.21495,3071.937347,3049.891373,3025.838167
RA3OfOTRG22,RD,Advanced,30,OffShoreWind,OTRG2,4114.481494,3831.077472,3596.087385,3387.154781,3197.127654,3022.604636,2861.546351,2712.516383,2574.380982,2446.173483,2327.027897,2216.144903,2112.774197,2016.20557,1925.764773,1881.121804,1841.387398,1806.021007,1774.502881,1746.330841,1721.017519,1698.087984,1677.077737,1657.531035,1638.999546,1621.041345,1603.220219,1585.105328,1566.271196,1546.298063,1524.772613,1501.289103,1475.450948
RM3OfOTRG22,RD,Moderate,30,OffShoreWind,OTRG2,4114.481494,3882.878807,3693.132398,3526.804779,3377.788693,3243.097953,3120.915972,3009.965177,2909.251337,2817.943534,2735.311652,2660.691175,2593.46213,2533.035852,2478.846324,2430.344327,2386.993356,2348.266709,2313.645368,2282.616418,2254.671856,2229.307676,2206.023157,2184.320305,2163.703406,2143.678669,2123.753936,2103.438441,2082.242621,2059.677945,2035.256785,2008.492297,1978.898328
RC3OfOTRG22,RD,Conservative,30,OffShoreWind,OTRG2,4114.481494,3988.43993,3911.462063,3842.662161,3780.301292,3723.472988,3671.58274,3624.17981,3580.88903,3541.378797,3505.344389,3472.498584,3442.566041,3415.279768,3390.378814,3367.60671,3346.710376,3327.439349,3309.545214,3292.781183,3276.901779,3261.662593,3246.82009,3232.131462,3217.35451,3202.247549,3186.569328,3170.078968,3152.53591,3133.699871,3113.330808,3091.18889,3067.034466
RA3OfOTRG33,RD,Advanced,30,OffShoreWind,OTRG3,4278.530788,3984.35543,3739.516137,3521.473623,3323.005377,3140.665106,2972.376326,2816.667984,2672.372292,2538.48852,2414.116473,2298.422577,2190.622443,2089.972179,1995.76451,1949.093846,1907.568753,1870.622685,1837.710629,1808.305782,1781.896701,1757.98485,1736.082517,1715.71108,1696.399616,1677.683849,1659.105444,1640.211656,1620.555328,1599.69527,1577.197033,1552.634098,1525.58955
RM3OfOTRG33,RD,Moderate,30,OffShoreWind,OTRG3,4278.530788,4038.134722,3840.421857,3666.79309,3511.073394,3370.23257,3242.418919,3126.323858,3020.924302,2925.361724,2838.879165,2760.785766,2690.435549,2627.214083,2570.529757,2519.807887,2474.486598,2434.013894,2397.84552,2365.443373,2336.274295,2309.809161,2285.522151,2262.890197,2241.392526,2220.510301,2199.726334,2178.524839,2156.391238,2132.811998,2107.274494,2079.26689,2048.278048
RC3OfOTRG33,RD,Conservative,30,OffShoreWind,OTRG3,4278.530788,4147.730734,4067.256526,3995.238207,3929.913049,3870.357123,3815.960835,3766.259456,3720.864403,3679.430984,3641.641602,3607.196285,3575.807036,3547.19427,3521.08449,3497.208713,3475.301373,3455.099539,3436.342344,3418.770562,3402.126288,3386.152688,3370.593816,3355.194453,3339.699999,3323.856365,3307.409904,3290.107343,3271.695732,3251.922398,3230.534911,3207.281051,3181.908785
RA3OfOTRG44,RD,Advanced,30,OffShoreWind,OTRG4,4442.833138,4137.62594,3883.143771,3656.337141,3449.813839,3260.040708,3084.883695,2922.826606,2772.66241,2633.354193,2503.967349,2383.635103,2271.540851,2166.909443,2069.003361,2020.416232,1977.192984,1938.743084,1904.498312,1873.90933,1846.442724,1821.578473,1798.807782,1777.63129,1757.557622,1738.102301,1718.787021,1699.139278,1678.692379,1656.98584,1633.56619,1607.988229,1579.816764
RM3OfOTRG44,RD,Moderate,30,OffShoreWind,OTRG4,4442.833138,4193.426598,3987.92012,3807.287987,3645.206176,3498.565761,3365.462649,3244.548001,3134.764854,3035.224481,2945.141992,2863.800073,2790.527295,2724.68448,2665.655784,2612.842661,2565.659665,2523.53145,2485.890582,2452.175916,2421.831368,2394.304967,2369.048132,2345.515087,2323.162406,2301.448643,2279.834035,2257.780255,2234.750209,2210.207874,2183.618152,2154.446754,2122.160102
RC3OfOTRG44,RD,Conservative,30,OffShoreWind,OTRG4,4442.833138,4307.144029,4223.365266,4148.34297,4080.269555,4018.194984,3961.490576,3909.675749,3862.347772,3819.148786,3779.74863,3743.835165,3711.108491,3681.277311,3654.05655,3629.165748,3606.32794,3585.268854,3565.716327,3547.399876,3530.050365,3513.399758,3497.180922,3481.12747,3464.973645,3448.454217,3431.304405,3413.259809,3394.056362,3373.430279,3351.118024,3326.856274,3300.381899
