bus_id,dist,rs,rb
34265,0.0,s247,p117
34266,0.0,s247,p117
34267,0.0,s246,p117
34268,0.0,s247,p117
34269,0.0,s247,p117
34270,0.0,s247,p117
34271,0.0,s247,p117
34272,0.0,s247,p117
34273,0.0,s247,p117
34274,0.0,s247,p117
34275,0.0,s247,p117
34276,0.0,s247,p117
34277,0.0,s247,p117
34278,0.0,s247,p117
34279,0.0,s247,p117
34280,0.0,s246,p117
34281,0.0,s246,p117
34282,0.0,s247,p117
34283,0.0,s247,p117
34284,0.0,s247,p117
34285,0.0,s247,p117
34286,0.0,s247,p117
34287,0.0,s248,p117
34288,0.0,s248,p117
34289,0.0,s249,p116
34290,0.0,s249,p116
34291,0.0,s249,p116
34292,0.0,s249,p116
34293,0.0,s249,p116
34294,0.0,s249,p116
34295,0.0,s249,p116
34296,0.0,s249,p116
34297,0.0,s249,p116
34298,0.0,s249,p116
34299,0.0,s249,p116
34300,0.0,s249,p116
34301,0.0,s249,p116
34302,0.0,s249,p116
34303,0.0,s249,p116
34304,0.0,s249,p116
34305,0.0,s249,p116
34306,0.0,s249,p116
34307,0.0,s249,p116
34308,0.0,s249,p116
34309,0.0,s249,p116
34310,0.0,s249,p116
34311,0.0,s235,p112
34312,0.0,s235,p112
34313,0.0,s235,p112
34314,0.0,s252,p115
