bus_id,dist,rs,rb
33437,0.0,s224,p107
33438,0.0,s224,p107
33439,0.0,s224,p107
33440,0.0,s224,p107
33441,0.0,s224,p107
33442,0.0,s224,p107
33443,0.0,s224,p107
33444,0.0,s237,p109
33445,0.0,s237,p109
33446,0.0,s237,p109
33447,0.0,s237,p109
33448,0.0,s237,p109
33449,0.0,s237,p109
33450,0.0,s237,p109
33451,0.0,s237,p109
33452,0.0,s237,p109
33453,0.0,s237,p109
33454,0.0,s237,p109
33455,0.0,s237,p109
33456,0.0,s237,p109
33457,0.0,s237,p109
33458,0.0,s224,p107
33459,0.0,s224,p107
33460,0.0,s237,p109
33461,0.0,s237,p109
33462,0.0,s237,p109
33463,0.0,s237,p109
33464,0.0,s237,p109
33465,0.0,s237,p109
33466,0.0,s237,p109
33467,0.0,s237,p109
33468,0.0,s237,p109
33469,0.0,s237,p109
33470,0.0,s237,p109
33471,0.0,s237,p109
33472,0.0,s237,p109
33473,0.0,s237,p109
33474,0.0,s237,p109
33475,0.0,s237,p109
33476,0.0,s237,p109
33477,0.0,s237,p109
33478,0.0,s237,p109
33479,0.0,s237,p109
33480,0.0,s237,p109
33481,0.0,s237,p109
33482,0.0,s237,p109
33483,0.0,s237,p109
33484,0.0,s237,p109
33485,0.0,s237,p109
33486,0.0,s237,p109
33487,0.0,s237,p109
33488,0.0,s237,p109
33489,0.0,s237,p109
33490,0.0,s237,p109
33491,0.0,s237,p109
33492,0.0,s237,p109
33493,0.0,s237,p109
33494,0.0,s224,p107
33495,0.0,s224,p107
33496,0.0,s224,p107
33497,0.0,s224,p107
33498,0.0,s224,p107
33499,0.0,s237,p109
33500,0.0,s237,p109
33501,0.0,s240,p109
33502,0.0,s240,p109
33503,0.0,s240,p109
33504,0.0,s240,p109
33505,0.0,s240,p109
33506,0.0,s237,p109
33507,0.0,s237,p109
33508,0.0,s237,p109
33509,0.0,s237,p109
33510,0.0,s237,p109
33511,0.0,s237,p109
33512,0.0,s237,p109
33513,0.0,s237,p109
33514,0.0,s237,p109
33515,0.0,s239,p109
33516,0.0,s239,p109
33517,0.0,s239,p109
33518,0.0,s239,p109
33519,0.0,s239,p109
33520,0.0,s239,p109
33521,0.0,s239,p109
33522,0.0,s239,p109
33523,0.0,s240,p109
33524,0.0,s239,p109
33525,0.0,s239,p109
33526,0.0,s239,p109
33527,0.0,s239,p109
33528,0.0,s240,p109
33529,0.0,s240,p109
33530,0.0,s238,p109
33531,0.0,s238,p109
33532,0.0,s238,p109
33533,0.0,s238,p109
33534,0.0,s238,p109
33535,0.0,s238,p109
33536,0.0,s238,p109
33537,0.0,s238,p109
33538,0.0,s238,p109
33539,0.0,s238,p109
33540,0.0,s238,p109
33541,0.0,s238,p109
33542,0.0,s238,p109
33543,0.0,s238,p109
33544,0.0,s238,p109
33545,0.0,s238,p109
33546,0.0,s238,p109
33547,0.0,s238,p109
33548,0.0,s238,p109
33549,0.0,s238,p109
33550,0.0,s238,p109
33551,0.0,s231,p114
33552,0.0,s231,p114
33553,0.0,s238,p109
33554,0.0,s231,p114
33555,0.0,s231,p114
33556,0.0,s231,p114
33557,0.0,s231,p114
33558,0.0,s231,p114
33559,0.0,s231,p114
33560,0.0,s231,p114
33561,0.0,s238,p109
33562,0.0,s238,p109
33563,0.0,s238,p109
33564,0.0,s238,p109
33565,0.0,s238,p109
33566,0.0,s238,p109
33567,0.0,s238,p109
33568,0.0,s238,p109
33569,0.0,s238,p109
33570,0.0,s238,p109
33571,0.0,s238,p109
33572,0.0,s238,p109
33573,0.0,s238,p109
33574,0.0,s238,p109
33575,0.0,s238,p109
33576,0.0,s242,p110
33577,0.0,s242,p110
33578,0.0,s242,p110
33579,0.0,s242,p110
33580,0.0,s242,p110
33581,0.0,s242,p110
33582,0.0,s242,p110
