kV,69,115,138,161,230,345,500
69,4840,3940,4360,4590,5090,6250,8060
115,,5360,4360,4590,5090,5940,7290
138,,,5940,4840,5090,5940,7290
161,,,,6580,5360,6250,7670
230,,,,,7290,6250,7670
345,,,,,,8880,8060
500,,,,,,,11900
