bus_id,name_abbr,dist,lat,lon
145,NEISO,0.0,43.8345,-70.2465
146,NEISO,0.0,43.7254,-70.2728
147,NEISO,0.0,43.7826,-70.3009
148,NEISO,0.0,43.7067,-70.2652
149,NEISO,0.0,43.8528,-70.0865
150,NEISO,0.0,43.8569,-70.1464
151,NEISO,0.006983082293346964,43.7812,-70.063
152,NEISO,0.006983082293346964,43.7812,-70.063
153,NEISO,0.0,43.7238,-70.4998
154,NEISO,0.0,43.7238,-70.4998
155,NEISO,0.0,43.8102,-70.417
156,NEISO,0.0,43.6855,-70.4985
157,NEISO,0.0,43.6855,-70.4985
158,NEISO,0.0,43.7105,-70.4484
159,NEISO,0.0,43.8433,-70.3461
160,NEISO,0.0,43.8694,-70.3761
161,NEISO,0.0005915621895289834,43.7883,-69.9007
162,NEISO,0.0,43.8575,-69.9314
163,NEISO,0.0076434539129486495,43.7536,-69.9695
164,NEISO,0.0076434539129486495,43.7536,-69.9695
165,NEISO,0.0,44.05,-70.8657
166,NEISO,0.0,44.114,-70.8559
167,NEISO,0.0,44.1939,-70.7475
168,NEISO,0.0,44.0087,-70.6828
169,NEISO,0.0,43.9335,-70.6507
170,NEISO,0.0,43.9376,-70.3062
171,NEISO,0.0,44.069,-70.2935
172,NEISO,0.0,44.069,-70.2935
173,NEISO,0.0,43.8682,-70.2913
174,NEISO,0.0,43.5804,-70.234
175,NEISO,0.004344904923437173,43.6585,-70.2197
176,NEISO,0.004344904923437173,43.6585,-70.2197
177,NEISO,0.0058522643837790244,43.6822,-70.2284
178,NEISO,0.0,43.5999,-70.362
179,NEISO,0.0,43.6282,-70.2635
180,NEISO,0.0,43.7491,-70.3692
181,NEISO,0.0,43.7448,-70.3161
182,NEISO,0.0,43.7448,-70.3161
183,NEISO,0.0,43.7448,-70.3161
184,NEISO,0.0010975583008675362,43.6599,-70.181
185,NEISO,0.006003157382005217,43.6646,-70.231
186,NEISO,0.006003157382005217,43.6646,-70.231
187,NEISO,0.006003157382005217,43.6646,-70.231
188,NEISO,0.0,43.6636,-70.2802
189,NEISO,0.0,43.881,-70.4244
190,NEISO,0.0,43.9239,-70.4406
191,NEISO,0.0,43.9239,-70.4406
192,NEISO,0.0,43.9239,-70.4406
193,NEISO,0.0,43.9239,-70.4406
194,NEISO,0.0,43.9239,-70.4406
195,NEISO,0.0,43.5667,-70.3753
196,NEISO,0.0,43.5306,-70.4481
197,NEISO,0.0,43.5306,-70.4481
198,NEISO,0.0,43.5306,-70.4481
199,NEISO,0.0,43.5306,-70.4481
200,NEISO,0.0,43.5306,-70.4481
201,NEISO,0.0,43.5256,-70.4818
202,NEISO,0.0,43.6519,-70.3887
203,NEISO,0.0,43.954,-70.7248
204,NEISO,0.0,43.8881,-70.7987
205,NEISO,0.0,43.7933,-70.6743
206,NEISO,0.0,43.7933,-70.6743
207,NEISO,0.0,43.6416,-70.298
208,NEISO,0.0,43.5688,-70.3
209,NEISO,0.0,43.5688,-70.3
210,NEISO,0.0,43.6773,-70.318
211,NEISO,0.0,43.6838,-70.3715
212,NEISO,0.0,43.6838,-70.3715
213,NEISO,0.0,43.789,-70.5102
214,NEISO,0.0,43.678,-70.6496
215,NEISO,0.0,43.7081,-70.641
216,NEISO,0.0,43.7211,-70.3169
217,NEISO,0.0,43.6953,-70.3373
218,NEISO,0.0,43.7071,-70.4124
219,NEISO,0.0,43.7018,-70.3644
220,NEISO,0.0,43.7018,-70.3644
221,NEISO,0.0,43.7672,-70.4021
222,NEISO,0.0,43.7862,-70.4287
223,NEISO,0.0,43.7528,-70.4439
224,NEISO,0.0,43.7528,-70.4439
225,NEISO,0.0,43.7528,-70.4439
226,NEISO,0.0,43.8137,-70.3664
227,NEISO,0.0,43.8137,-70.3664
228,NEISO,0.003904742066661885,43.7359,-70.1718
229,NEISO,0.0,43.7762,-70.2203
230,NEISO,0.0,43.883,-70.1775
231,NEISO,0.0,43.883,-70.1775
232,NEISO,0.0,43.883,-70.1775
233,NEISO,0.0,43.883,-70.1775
234,NEISO,0.0,43.883,-70.1775
235,NEISO,0.0,44.4761,-70.3805
236,NEISO,0.0,44.5638,-70.324
237,NEISO,0.0,44.5732,-70.403
238,NEISO,0.0,44.5732,-70.403
239,NEISO,0.0,45.3434,-70.5882
240,NEISO,0.0,45.3434,-70.5882
241,NEISO,0.0,44.6588,-70.1753
242,NEISO,0.0,44.6588,-70.1753
243,NEISO,0.0,44.6588,-70.1753
244,NEISO,0.0,44.6788,-70.1086
245,NEISO,0.0,44.6788,-70.1086
246,NEISO,0.0,44.6233,-70.0833
247,NEISO,0.0,44.4872,-70.2177
248,NEISO,0.0,44.5104,-70.1161
249,NEISO,0.0,44.5104,-70.1161
250,NEISO,0.0,44.6081,-70.1726
251,NEISO,0.0,45.0775,-70.1951
252,NEISO,0.0,44.8424,-70.4549
253,NEISO,0.0,44.8424,-70.4549
254,NEISO,0.0,45.0516,-70.6049
255,NEISO,0.0,45.0516,-70.6049
256,NEISO,0.0,44.9351,-70.5605
257,NEISO,0.0,45.018,-70.3048
258,NEISO,0.0,44.9884,-70.4195
259,NEISO,0.0,44.6348,-70.3253
260,NEISO,0.0,44.6634,-70.346
261,NEISO,0.0,44.6634,-70.346
262,NEISO,0.0,44.5835,-70.2545
263,NEISO,0.0,44.5835,-70.2545
264,NEISO,0.0,44.4761,-68.4145
265,NEISO,0.0,44.4151,-68.3174
266,NEISO,0.0,44.4151,-68.3174
267,NEISO,0.0,44.4753,-68.5441
268,NEISO,0.0,44.4753,-68.5441
269,NEISO,0.0,44.3494,-68.6363
270,NEISO,0.0,44.3494,-68.6363
271,NEISO,0.0,44.436,-68.4923
272,NEISO,0.0,44.1615,-68.4725
273,NEISO,0.0,44.1615,-68.4725
274,NEISO,0.0,44.3157,-68.8026
275,NEISO,0.0,44.3157,-68.8026
276,NEISO,0.0,44.579,-68.7197
277,NEISO,0.0009737074607828729,44.5257,-68.8076
278,NEISO,0.0,44.5983,-68.6646
279,NEISO,0.0,44.8013,-67.9249
280,NEISO,0.0,44.8013,-67.9249
281,NEISO,0.0,44.6656,-68.3538
282,NEISO,0.0,44.6656,-68.3538
283,NEISO,0.0,44.6398,-68.395
284,NEISO,0.0,44.6481,-68.3799
285,NEISO,0.0,44.6481,-68.3799
286,NEISO,0.0,44.6481,-68.3799
287,NEISO,0.0,44.6025,-68.193
288,NEISO,0.0,44.6025,-68.193
289,NEISO,0.0,44.6644,-68.1719
290,NEISO,0.0,44.6644,-68.1719
291,NEISO,0.0,44.4356,-68.114
292,NEISO,0.0,44.512,-68.2323
293,NEISO,0.0,44.7753,-68.6762
294,NEISO,0.0,44.7753,-68.6762
