,type
548,solar
549,solar
550,solar
551,solar
552,dfo
553,dfo
554,dfo
555,dfo
556,dfo
557,dfo
558,dfo
559,dfo
560,dfo
561,dfo
562,dfo
563,solar
564,solar
565,solar
566,solar
567,solar
568,solar
569,solar
570,solar
571,solar
572,solar
573,solar
574,solar
575,solar
576,ng
577,ng
578,ng
579,ng
580,ng
581,solar
582,solar
583,solar
584,ng
585,ng
586,ng
587,ng
588,dfo
589,dfo
590,dfo
591,dfo
592,dfo
593,dfo
594,dfo
595,dfo
596,dfo
597,solar
598,solar
599,solar
600,coal
601,coal
602,coal
603,ng
604,solar
605,solar
606,ng
607,ng
608,ng
609,ng
610,ng
611,ng
612,dfo
613,dfo
614,dfo
615,dfo
616,dfo
617,dfo
618,dfo
619,dfo
620,dfo
621,solar
622,solar
623,dfo
624,hydro
625,hydro
626,hydro
627,hydro
628,hydro
629,hydro
630,hydro
631,hydro
632,hydro
633,hydro
634,hydro
635,hydro
636,hydro
637,hydro
638,hydro
639,hydro
640,hydro
641,wind
642,wind
643,solar
644,solar
645,solar
646,solar
647,solar
648,solar
649,solar
650,solar
651,ng
652,ng
653,solar
654,solar
655,solar
656,solar
657,solar
658,wind
659,solar
660,solar
661,solar
662,dfo
663,solar
664,solar
665,solar
666,solar
667,solar
668,hydro
669,hydro
670,hydro
671,hydro
672,hydro
673,hydro
674,solar
675,solar
676,hydro
677,hydro
678,hydro
679,hydro
680,hydro
681,hydro
682,hydro
683,hydro
684,ng
685,ng
686,ng
687,ng
688,ng
689,ng
690,ng
691,ng
692,ng
693,ng
694,ng
695,ng
696,ng
697,ng
698,ng
699,ng
700,hydro
701,hydro
702,hydro
703,solar
704,solar
705,solar
706,solar
707,solar
708,solar
709,solar
710,solar
711,solar
712,solar
713,ng
714,solar
715,solar
716,dfo
717,ng
718,solar
719,solar
720,solar
721,solar
722,ng
723,ng
724,ng
725,wind
726,wind
727,wind
728,wind
729,wind
730,wind
731,wind
732,solar
733,solar
734,solar
735,dfo
736,dfo
737,solar
738,solar
739,solar
740,ng
741,ng
742,dfo
743,dfo
744,dfo
745,dfo
746,dfo
747,dfo
748,dfo
749,dfo
750,dfo
751,solar
752,hydro
753,hydro
754,hydro
755,hydro
756,ng
757,ng
758,ng
759,ng
760,dfo
761,hydro
762,hydro
763,hydro
764,hydro
765,ng
766,ng
767,solar
768,solar
769,solar
770,solar
771,solar
772,solar
773,solar
774,solar
775,solar
776,solar
777,solar
778,solar
779,ng
780,ng
781,nuclear
782,wind
783,wind
784,solar
785,solar
786,solar
787,solar
788,dfo
789,wind
790,wind
791,wind
792,wind
793,wind
794,hydro
795,hydro
796,hydro
797,dfo
798,dfo
799,dfo
800,dfo
801,dfo
802,solar
803,hydro
804,hydro
805,hydro
806,solar
807,solar
808,dfo
809,dfo
810,dfo
811,ng
812,ng
813,ng
814,dfo
815,dfo
816,dfo
817,dfo
818,dfo
819,solar
820,solar
821,ng
822,ng
823,hydro
824,hydro
825,hydro
826,hydro
827,hydro
828,ng
829,ng
830,ng
831,ng
832,ng
833,ng
834,ng
835,ng
836,ng
837,ng
838,ng
839,solar
840,solar
841,solar
842,dfo
843,ng
844,ng
845,ng
846,ng
847,hydro
848,hydro
849,hydro
850,hydro
851,wind
852,wind
853,wind
854,wind
855,wind
856,solar
857,solar
858,solar
859,ng
860,ng
861,ng
862,solar
863,solar
864,wind
865,wind
866,solar
867,ng
868,ng
869,ng
870,ng
871,ng
872,ng
873,ng
874,ng
875,ng
876,ng
877,wind
878,ng
879,ng
880,ng
881,ng
882,hydro
883,hydro
884,hydro
885,hydro
886,hydro
887,ng
888,ng
889,ng
890,ng
891,ng
892,ng
893,dfo
894,dfo
895,dfo
896,dfo
897,ng
898,ng
899,ng
900,dfo
901,dfo
902,hydro
903,hydro
904,hydro
905,hydro
906,dfo
907,dfo
908,dfo
909,dfo
910,dfo
911,dfo
912,solar
913,ng
914,ng
915,hydro
916,hydro
917,hydro
918,ng
919,coal
920,ng
921,dfo
922,dfo
923,dfo
924,dfo
925,ng
926,ng
927,ng
928,ng
929,ng
930,dfo
931,dfo
932,dfo
933,dfo
934,ng
935,ng
936,ng
937,dfo
938,ng
939,dfo
940,ng
941,ng
942,ng
943,ng
944,ng
945,ng
946,dfo
947,dfo
948,dfo
949,dfo
950,dfo
951,dfo
952,ng
953,hydro
954,hydro
955,hydro
956,hydro
957,hydro
958,hydro
959,ng
960,ng
961,ng
962,ng
963,ng
964,ng
965,ng
966,ng
967,dfo
968,dfo
969,dfo
970,dfo
971,dfo
972,ng
973,ng
974,hydro
975,hydro
976,hydro
977,hydro
978,dfo
979,dfo
980,dfo
981,dfo
982,ng
983,ng
984,dfo
985,dfo
986,ng
987,ng
988,ng
989,ng
990,ng
991,ng
992,ng
993,dfo
994,dfo
995,dfo
996,dfo
997,dfo
998,dfo
999,ng
1000,hydro
1001,hydro
1002,hydro
1003,hydro
1004,hydro
1005,hydro
1006,ng
1007,ng
1008,ng
1009,ng
1010,ng
1011,solar
1012,solar
1013,dfo
1014,dfo
1015,dfo
1016,dfo
1017,dfo
1018,ng
1019,ng
1020,ng
1021,ng
1022,dfo
1023,dfo
1024,dfo
1025,dfo
1026,dfo
1027,hydro
1028,hydro
1029,hydro
1030,hydro
1031,hydro
1032,hydro
1033,hydro
1034,hydro
1035,hydro
1036,hydro
1037,hydro
1038,hydro
1039,hydro
1040,hydro
1041,hydro
1042,hydro
1043,hydro
1044,ng
1045,ng
1046,ng
1047,ng
1048,ng
1049,ng
1050,ng
1051,ng
1052,dfo
1053,dfo
1054,dfo
1055,dfo
1056,dfo
1057,dfo
1058,dfo
1059,dfo
1060,dfo
1061,dfo
1062,dfo
1063,dfo
1064,dfo
1065,dfo
1066,dfo
1067,ng
1068,ng
1069,ng
1070,hydro
1071,hydro
1072,nuclear
1073,nuclear
1074,solar
1075,ng
1076,dfo
1077,dfo
1078,dfo
1079,dfo
1080,dfo
1081,dfo
1082,dfo
1083,dfo
1084,ng
1085,ng
1086,ng
1087,dfo
1088,dfo
1089,dfo
1090,dfo
1091,dfo
1092,ng
1093,ng
1094,dfo
1095,dfo
1096,ng
1097,ng
1098,ng
1099,ng
1100,dfo
1101,dfo
1102,dfo
1103,dfo
1104,dfo
1105,dfo
1106,ng
1107,ng
1108,ng
1109,ng
1110,ng
1111,solar
1112,solar
1113,nuclear
1114,ng
1115,ng
1116,dfo
1117,dfo
1118,dfo
1119,dfo
1120,dfo
1121,dfo
1122,coal
1123,coal
1124,hydro
1125,ng
1126,ng
1127,ng
1128,ng
1129,dfo
1130,dfo
1131,dfo
1132,dfo
1133,dfo
1134,ng
1135,ng
1136,ng
1137,ng
1138,ng
1139,ng
1140,ng
1141,ng
1142,ng
1143,ng
1144,ng
1145,ng
1146,ng
1147,ng
1148,ng
1149,ng
1150,ng
1151,ng
1152,ng
1153,ng
1154,ng
1155,dfo
1156,dfo
1157,dfo
1158,dfo
1159,dfo
1160,dfo
1161,dfo
1162,dfo
1163,dfo
1164,ng
1165,ng
1166,ng
1167,ng
1168,ng
1169,ng
1170,ng
1171,dfo
1172,ng
1173,ng
1174,ng
1175,ng
1176,ng
1177,ng
1178,ng
1179,ng
1180,ng
1181,ng
1182,ng
1183,ng
1184,ng
1185,solar
1186,solar
1187,ng
1188,ng
1189,hydro
1190,hydro
1191,ng
1192,dfo
1193,ng
1194,ng
1195,ng
1196,ng
1197,ng
1198,ng
1199,ng
1200,ng
1201,ng
1202,ng
1203,ng
1204,ng
1205,ng
1206,ng
1207,ng
1208,ng
1209,ng
1210,ng
1211,ng
1212,ng
1213,ng
1214,dfo
1215,dfo
1216,dfo
1217,dfo
1218,ng
1219,ng
1220,ng
1221,dfo
1222,dfo
1223,dfo
1224,ng
1225,ng
1226,ng
1227,ng
1228,ng
1229,ng
1230,dfo
1231,hydro
1232,hydro
1233,hydro
1234,hydro
1235,hydro
1236,hydro
1237,solar
1238,solar
1239,solar
1240,solar
1241,solar
1242,dfo
1243,dfo
1244,ng
1245,ng
1246,ng
1247,ng
1248,ng
1249,dfo
1250,dfo
1251,ng
1252,ng
1253,ng
1254,ng
1255,ng
1256,ng
1257,ng
1258,dfo
1259,ng
1260,ng
1261,ng
1262,hydro
1263,ng
1264,ng
1265,ng
1266,ng
1267,ng
1268,ng
1269,ng
1270,ng
1271,ng
1272,ng
1273,ng
1274,ng
1275,ng
1276,ng
1277,ng
1278,ng
1279,ng
1280,ng
1281,dfo
1282,dfo
1283,ng
1284,ng
1285,ng
1286,dfo
1287,dfo
1288,ng
1289,ng
1290,ng
1291,dfo
1292,dfo
1293,dfo
1294,dfo
