,type
2285,dfo
2286,nuclear
2287,nuclear
2288,nuclear
2289,nuclear
2290,ng
2291,ng
2292,ng
2293,ng
2294,ng
2295,ng
2296,ng
2297,coal
2298,coal
2299,dfo
2300,dfo
2301,ng
2302,dfo
2303,dfo
2304,wind
2305,ng
2306,ng
2307,ng
2308,coal
2309,ng
2310,ng
2311,ng
2312,ng
2313,ng
2314,ng
2315,coal
2316,dfo
2317,dfo
2318,coal
2319,coal
2320,coal
2321,coal
2322,coal
2323,dfo
2324,dfo
2325,dfo
2326,dfo
2327,dfo
2328,dfo
2329,wind
2330,dfo
2331,dfo
2332,hydro
2333,coal
2334,dfo
2335,dfo
2336,dfo
2337,dfo
2338,dfo
2339,dfo
2340,ng
2341,ng
2342,ng
2343,ng
2344,ng
2345,ng
2346,ng
2347,ng
2348,ng
2349,ng
2350,ng
2351,ng
2352,ng
2353,ng
2354,ng
2355,ng
2356,coal
2357,wind
2358,ng
2359,ng
2360,ng
2361,ng
2362,wind
2363,coal
2364,hydro
2365,hydro
2366,hydro
2367,hydro
2368,hydro
2369,hydro
2370,dfo
2371,dfo
2372,dfo
2373,dfo
2374,dfo
2375,dfo
2376,dfo
2377,dfo
2378,dfo
2379,dfo
2380,dfo
2381,dfo
2382,dfo
2383,coal
2384,coal
2385,coal
2386,wind
2387,dfo
2388,ng
2389,ng
2390,ng
2391,ng
2392,ng
2393,ng
2394,dfo
2395,dfo
2396,dfo
2397,ng
2398,ng
2399,ng
2400,dfo
2401,dfo
2402,dfo
2403,coal
2404,ng
2405,ng
2406,ng
2407,ng
2408,ng
2409,ng
2410,hydro
2411,hydro
2412,dfo
2413,dfo
2414,dfo
2415,dfo
2416,dfo
2417,dfo
2418,dfo
2419,dfo
2420,dfo
2421,hydro
2422,hydro
2423,hydro
2424,hydro
2425,hydro
2426,hydro
2427,coal
2428,coal
2429,coal
2430,ng
2431,ng
2432,ng
2433,ng
2434,ng
2435,coal
2436,wind
2437,wind
2438,coal
2439,coal
2440,coal
2441,coal
2442,hydro
2443,hydro
2444,hydro
2445,hydro
2446,hydro
2447,hydro
2448,hydro
2449,coal
2450,coal
2451,coal
2452,coal
2453,coal
2454,coal
2455,coal
2456,coal
2457,wind
2458,hydro
2459,hydro
2460,hydro
2461,wind
2462,coal
2463,wind
2464,coal
2465,coal
2466,coal
2467,hydro
2468,hydro
2469,hydro
2470,wind
2471,wind
2472,wind
2473,wind
2474,ng
2475,ng
2476,dfo
2477,dfo
2478,dfo
2479,dfo
2480,dfo
2481,dfo
2482,dfo
2483,dfo
2484,ng
2485,ng
2486,ng
2487,coal
2488,coal
2489,coal
2490,wind
2491,coal
2492,coal
2493,coal
2494,coal
2495,wind
2496,wind
2497,wind
2498,nuclear
2499,nuclear
2500,ng
2501,ng
2502,ng
2503,ng
2504,wind
2505,coal
2506,coal
2507,wind
2508,coal
2509,coal
2510,coal
2511,ng
2512,ng
2513,ng
2514,hydro
2515,hydro
2516,hydro
2517,hydro
2518,hydro
2519,ng
2520,ng
2521,ng
2522,ng
2523,ng
2524,ng
2525,ng
2526,ng
2527,dfo
2528,dfo
2529,dfo
2530,dfo
2531,dfo
2532,dfo
2533,dfo
2534,dfo
2535,dfo
2536,dfo
2537,dfo
2538,hydro
2539,hydro
2540,hydro
2541,hydro
2542,hydro
2543,hydro
2544,hydro
2545,hydro
2546,hydro
2547,hydro
2548,hydro
2549,coal
2550,wind
2551,dfo
2552,wind
2553,hydro
2554,hydro
2555,hydro
2556,hydro
2557,hydro
2558,hydro
2559,ng
2560,ng
2561,ng
2562,ng
2563,ng
2564,ng
2565,ng
2566,ng
2567,wind
2568,dfo
2569,solar
2570,solar
2571,solar
2572,solar
2573,solar
2574,ng
2575,ng
2576,ng
2577,ng
2578,ng
2579,ng
2580,ng
2581,ng
2582,dfo
2583,dfo
2584,dfo
2585,dfo
2586,ng
2587,ng
2588,ng
2589,ng
2590,ng
2591,ng
2592,ng
2593,ng
2594,ng
2595,ng
2596,ng
2597,ng
2598,ng
2599,ng
2600,ng
2601,ng
2602,dfo
2603,coal
2604,ng
2605,ng
2606,ng
2607,ng
2608,dfo
2609,dfo
2610,ng
2611,ng
2612,ng
2613,ng
2614,nuclear
2615,nuclear
2616,solar
2617,solar
2618,solar
2619,coal
2620,coal
2621,ng
2622,dfo
2623,dfo
2624,dfo
2625,hydro
2626,hydro
2627,wind
2628,solar
2629,ng
2630,dfo
2631,dfo
2632,dfo
2633,dfo
2634,dfo
2635,dfo
2636,coal
2637,ng
2638,ng
2639,ng
2640,wind
2641,coal
2642,coal
2643,ng
2644,ng
2645,ng
2646,ng
2647,ng
2648,wind
2649,ng
2650,ng
2651,ng
2652,ng
2653,ng
2654,ng
2655,dfo
2656,dfo
2657,dfo
2658,dfo
2659,dfo
2660,dfo
2661,ng
2662,ng
2663,ng
2664,ng
2665,ng
2666,solar
2667,dfo
2668,dfo
2669,coal
2670,coal
2671,dfo
2672,solar
2673,solar
2674,solar
2675,solar
2676,solar
2677,solar
2678,solar
2679,solar
2680,coal
2681,coal
2682,coal
2683,dfo
2684,dfo
2685,dfo
2686,dfo
2687,ng
2688,ng
2689,dfo
2690,dfo
2691,coal
2692,coal
2693,dfo
2694,dfo
2695,dfo
2696,dfo
2697,dfo
2698,dfo
2699,dfo
2700,dfo
2701,coal
2702,coal
2703,coal
2704,coal
2705,solar
2706,solar
2707,solar
2708,dfo
2709,dfo
2710,dfo
2711,dfo
2712,dfo
2713,dfo
2714,ng
2715,ng
2716,ng
2717,dfo
2718,dfo
2719,dfo
2720,dfo
2721,dfo
2722,dfo
2723,dfo
2724,dfo
2725,dfo
2726,dfo
2727,dfo
2728,dfo
2729,ng
2730,ng
2731,ng
2732,ng
2733,ng
2734,ng
2735,ng
2736,ng
2737,coal
2738,coal
2739,wind
2740,dfo
2741,dfo
2742,dfo
2743,dfo
2744,hydro
2745,hydro
2746,hydro
2747,hydro
2748,hydro
2749,hydro
2750,ng
2751,ng
2752,ng
2753,ng
2754,ng
2755,ng
2756,ng
2757,ng
2758,ng
2759,dfo
2760,ng
2761,ng
2762,hydro
2763,hydro
2764,hydro
2765,hydro
2766,hydro
2767,hydro
2768,dfo
2769,hydro
2770,hydro
2771,hydro
2772,hydro
2773,coal
2774,coal
2775,coal
2776,hydro
2777,hydro
2778,hydro
2779,hydro
2780,ng
2781,ng
2782,dfo
2783,ng
2784,ng
2785,ng
2786,ng
2787,ng
2788,dfo
2789,dfo
2790,dfo
2791,dfo
2792,dfo
2793,dfo
2794,dfo
2795,dfo
2796,dfo
2797,hydro
2798,hydro
2799,hydro
2800,hydro
2801,hydro
2802,hydro
2803,coal
2804,coal
2805,hydro
2806,coal
2807,coal
2808,ng
2809,ng
2810,ng
2811,ng
2812,ng
2813,ng
2814,ng
2815,hydro
2816,hydro
2817,hydro
2818,hydro
2819,hydro
2820,hydro
2821,hydro
2822,hydro
2823,hydro
2824,hydro
2825,hydro
2826,hydro
2827,hydro
2828,hydro
2829,hydro
2830,hydro
2831,hydro
2832,ng
2833,ng
2834,ng
2835,coal
2836,coal
2837,coal
2838,coal
2839,coal
2840,coal
2841,coal
2842,coal
2843,hydro
2844,hydro
2845,coal
2846,hydro
2847,hydro
2848,hydro
2849,hydro
2850,hydro
2851,hydro
2852,hydro
2853,hydro
2854,hydro
2855,hydro
2856,hydro
2857,hydro
2858,dfo
2859,dfo
2860,dfo
2861,dfo
2862,hydro
2863,hydro
2864,hydro
2865,hydro
2866,coal
2867,coal
2868,ng
2869,ng
2870,ng
2871,ng
2872,ng
2873,hydro
2874,hydro
2875,hydro
2876,coal
2877,coal
2878,hydro
2879,hydro
2880,hydro
2881,hydro
2882,ng
2883,ng
2884,ng
2885,ng
2886,dfo
2887,hydro
2888,hydro
2889,hydro
2890,hydro
2891,hydro
2892,hydro
2893,hydro
2894,ng
2895,coal
2896,coal
2897,dfo
2898,dfo
2899,dfo
2900,dfo
2901,dfo
2902,dfo
2903,dfo
2904,dfo
2905,dfo
2906,dfo
2907,ng
2908,ng
2909,ng
2910,ng
2911,ng
2912,ng
2913,coal
2914,coal
2915,coal
2916,coal
2917,dfo
2918,dfo
2919,ng
2920,ng
2921,ng
2922,ng
2923,hydro
2924,dfo
2925,dfo
2926,dfo
2927,dfo
2928,ng
2929,ng
2930,ng
2931,dfo
2932,dfo
2933,dfo
2934,dfo
2935,dfo
2936,dfo
2937,dfo
2938,hydro
2939,hydro
2940,ng
2941,dfo
2942,dfo
2943,dfo
2944,dfo
2945,dfo
2946,dfo
2947,dfo
2948,dfo
2949,dfo
2950,dfo
2951,dfo
2952,dfo
2953,dfo
2954,dfo
2955,dfo
2956,dfo
2957,dfo
2958,dfo
2959,dfo
2960,dfo
2961,dfo
2962,dfo
2963,nuclear
2964,nuclear
2965,dfo
2966,dfo
2967,ng
2968,ng
2969,ng
2970,ng
2971,ng
2972,ng
2973,ng
2974,ng
2975,dfo
2976,dfo
2977,dfo
2978,dfo
2979,dfo
2980,dfo
2981,dfo
2982,ng
2983,ng
2984,ng
2985,ng
2986,ng
2987,ng
2988,ng
2989,dfo
2990,dfo
2991,dfo
2992,ng
2993,ng
2994,coal
2995,ng
2996,ng
2997,ng
2998,ng
2999,ng
3000,ng
3001,ng
3002,dfo
3003,dfo
3004,dfo
3005,dfo
3006,dfo
3007,dfo
3008,dfo
3009,dfo
3010,dfo
3011,dfo
3012,nuclear
3013,nuclear
3014,dfo
3015,dfo
3016,ng
3017,dfo
3018,coal
3019,coal
3020,coal
3021,coal
3022,coal
3023,coal
3024,dfo
3025,ng
3026,ng
3027,ng
3028,ng
3029,dfo
3030,coal
3031,coal
3032,dfo
3033,dfo
3034,dfo
3035,dfo
3036,dfo
3037,dfo
3038,dfo
3039,dfo
3040,dfo
3041,dfo
3042,dfo
3043,ng
3044,ng
3045,ng
3046,coal
3047,coal
3048,coal
3049,coal
3050,dfo
3051,dfo
3052,dfo
3053,dfo
3054,ng
3055,ng
3056,ng
3057,ng
3058,ng
3059,solar
3060,solar
3061,solar
3062,solar
3063,solar
3064,solar
3065,solar
3066,solar
3067,solar
3068,solar
3069,solar
3070,solar
3071,solar
3072,dfo
3073,dfo
3074,dfo
3075,dfo
3076,dfo
3077,dfo
3078,hydro
3079,hydro
3080,hydro
3081,hydro
3082,solar
3083,solar
3084,dfo
3085,dfo
3086,dfo
3087,solar
3088,solar
3089,solar
3090,solar
3091,solar
3092,solar
3093,solar
3094,solar
3095,solar
3096,solar
3097,solar
3098,solar
3099,solar
3100,solar
3101,solar
3102,coal
3103,solar
3104,solar
3105,solar
3106,solar
3107,solar
3108,solar
3109,solar
3110,ng
3111,ng
3112,ng
3113,ng
3114,ng
3115,ng
3116,solar
3117,solar
3118,solar
3119,solar
3120,solar
3121,solar
3122,solar
3123,solar
3124,solar
3125,solar
3126,solar
3127,solar
3128,nuclear
3129,nuclear
3130,solar
3131,solar
3132,solar
3133,solar
3134,solar
3135,solar
3136,solar
3137,solar
3138,solar
3139,solar
3140,solar
3141,nuclear
3142,solar
3143,solar
3144,solar
3145,coal
3146,coal
3147,coal
3148,coal
3149,ng
3150,ng
3151,ng
3152,ng
3153,ng
3154,ng
3155,ng
3156,ng
3157,solar
3158,solar
3159,hydro
3160,hydro
3161,hydro
3162,solar
3163,solar
3164,solar
3165,coal
3166,coal
3167,coal
3168,solar
3169,dfo
3170,dfo
3171,dfo
3172,dfo
3173,dfo
3174,dfo
3175,solar
3176,solar
3177,solar
3178,solar
3179,solar
3180,solar
3181,solar
3182,ng
3183,ng
3184,ng
3185,ng
3186,ng
3187,ng
3188,solar
3189,solar
3190,solar
3191,solar
3192,solar
3193,solar
3194,solar
3195,solar
3196,dfo
3197,dfo
3198,dfo
3199,dfo
3200,dfo
3201,dfo
3202,dfo
3203,dfo
3204,dfo
3205,dfo
3206,solar
3207,solar
3208,solar
3209,hydro
3210,hydro
3211,hydro
3212,dfo
3213,dfo
3214,dfo
3215,dfo
3216,dfo
3217,dfo
3218,dfo
3219,hydro
3220,hydro
3221,hydro
3222,hydro
3223,dfo
3224,dfo
3225,dfo
3226,solar
3227,solar
3228,solar
3229,ng
3230,ng
3231,ng
3232,ng
3233,ng
3234,solar
3235,solar
3236,solar
3237,solar
3238,dfo
3239,dfo
3240,dfo
3241,dfo
3242,dfo
3243,dfo
3244,solar
3245,solar
3246,dfo
3247,dfo
3248,dfo
3249,dfo
3250,dfo
3251,dfo
3252,solar
3253,coal
3254,solar
3255,solar
3256,solar
3257,ng
3258,ng
3259,ng
3260,ng
3261,ng
3262,ng
3263,ng
3264,ng
3265,ng
3266,ng
3267,ng
3268,ng
3269,solar
3270,solar
3271,solar
3272,ng
3273,ng
3274,ng
3275,solar
3276,solar
3277,solar
3278,solar
3279,solar
3280,solar
3281,solar
3282,solar
3283,solar
3284,solar
3285,dfo
3286,dfo
3287,dfo
3288,dfo
3289,solar
3290,dfo
3291,dfo
3292,dfo
3293,dfo
3294,coal
3295,coal
3296,coal
3297,coal
3298,coal
3299,coal
3300,hydro
3301,hydro
3302,hydro
3303,hydro
3304,hydro
3305,hydro
3306,hydro
3307,coal
3308,hydro
3309,hydro
3310,hydro
3311,hydro
3312,hydro
3313,hydro
3314,hydro
3315,hydro
3316,hydro
3317,solar
3318,solar
3319,solar
3320,solar
3321,solar
3322,solar
3323,solar
3324,solar
3325,solar
3326,hydro
3327,hydro
3328,hydro
3329,solar
3330,solar
3331,solar
3332,solar
3333,solar
3334,solar
3335,solar
3336,solar
3337,solar
3338,solar
3339,hydro
3340,hydro
3341,hydro
3342,hydro
3343,dfo
3344,dfo
3345,dfo
3346,dfo
3347,dfo
3348,dfo
3349,solar
3350,solar
3351,solar
3352,solar
3353,solar
3354,ng
3355,ng
3356,ng
3357,nuclear
3358,nuclear
3359,ng
3360,ng
3361,solar
3362,solar
3363,ng
3364,ng
3365,ng
3366,solar
3367,ng
3368,ng
3369,ng
3370,ng
3371,ng
3372,ng
3373,ng
3374,ng
3375,solar
3376,solar
3377,solar
3378,solar
3379,solar
3380,solar
3381,solar
3382,coal
3383,ng
3384,ng
3385,ng
3386,ng
3387,ng
3388,ng
3389,ng
3390,hydro
3391,hydro
3392,hydro
3393,hydro
3394,hydro
3395,hydro
3396,solar
3397,solar
3398,solar
3399,solar
3400,solar
3401,solar
3402,solar
3403,solar
3404,hydro
3405,hydro
3406,hydro
3407,hydro
3408,hydro
3409,coal
3410,coal
3411,coal
3412,coal
3413,coal
3414,coal
3415,hydro
3416,hydro
3417,hydro
3418,solar
3419,hydro
3420,hydro
3421,hydro
3422,hydro
3423,hydro
3424,hydro
3425,hydro
3426,hydro
3427,hydro
3428,hydro
3429,hydro
3430,hydro
3431,hydro
3432,hydro
3433,hydro
3434,hydro
3435,hydro
3436,hydro
3437,hydro
3438,hydro
3439,solar
3440,hydro
3441,hydro
3442,hydro
3443,dfo
3444,dfo
3445,dfo
3446,dfo
3447,dfo
3448,dfo
3449,dfo
3450,hydro
3451,hydro
3452,solar
3453,solar
3454,solar
3455,solar
3456,solar
3457,solar
3458,solar
3459,solar
3460,solar
3461,solar
3462,hydro
3463,hydro
3464,hydro
3465,hydro
3466,hydro
3467,hydro
3468,hydro
3469,hydro
3470,hydro
3471,hydro
3472,hydro
3473,hydro
3474,dfo
3475,dfo
3476,dfo
3477,dfo
3478,dfo
3479,dfo
3480,coal
3481,coal
3482,dfo
3483,dfo
3484,dfo
3485,solar
3486,coal
3487,coal
3488,coal
3489,coal
3490,coal
3491,solar
3492,solar
3493,hydro
3494,ng
3495,ng
3496,ng
3497,ng
3498,ng
3499,ng
3500,solar
3501,ng
3502,ng
3503,hydro
3504,hydro
3505,solar
3506,hydro
3507,hydro
3508,dfo
3509,dfo
3510,dfo
3511,dfo
3512,dfo
3513,dfo
3514,dfo
3515,hydro
3516,hydro
3517,hydro
3518,dfo
3519,dfo
3520,dfo
3521,dfo
3522,dfo
3523,dfo
3524,hydro
3525,hydro
3526,hydro
3527,hydro
3528,hydro
3529,hydro
3530,ng
3531,ng
3532,ng
3533,ng
3534,solar
3535,solar
3536,ng
3537,ng
3538,ng
3539,ng
3540,dfo
3541,dfo
3542,dfo
3543,coal
3544,coal
3545,coal
3546,ng
3547,ng
3548,ng
3549,hydro
3550,hydro
3551,hydro
3552,hydro
3553,hydro
3554,hydro
3555,hydro
3556,coal
3557,coal
3558,coal
3559,coal
3560,hydro
3561,hydro
3562,ng
3563,ng
3564,hydro
3565,hydro
3566,hydro
3567,hydro
3568,hydro
3569,ng
3570,ng
3571,ng
3572,ng
3573,ng
3574,ng
3575,solar
3576,hydro
3577,hydro
3578,hydro
3579,hydro
3580,dfo
3581,dfo
3582,dfo
3583,dfo
3584,dfo
3585,nuclear
3586,hydro
3587,coal
3588,ng
3589,dfo
3590,hydro
3591,hydro
3592,hydro
3593,hydro
3594,hydro
3595,hydro
3596,hydro
3597,hydro
3598,hydro
3599,ng
3600,ng
3601,ng
3602,ng
3603,ng
3604,ng
3605,ng
3606,ng
3607,ng
3608,hydro
3609,hydro
3610,hydro
3611,hydro
3612,hydro
3613,hydro
3614,coal
3615,ng
3616,dfo
3617,ng
3618,ng
3619,ng
3620,coal
3621,hydro
3622,hydro
3623,hydro
3624,hydro
3625,hydro
3626,dfo
3627,dfo
3628,dfo
3629,dfo
3630,dfo
3631,dfo
3632,hydro
3633,hydro
3634,ng
3635,ng
3636,ng
3637,ng
3638,ng
3639,ng
3640,nuclear
3641,nuclear
3642,nuclear
3643,dfo
3644,hydro
3645,hydro
3646,hydro
3647,hydro
3648,hydro
3649,hydro
3650,hydro
3651,hydro
3652,coal
3653,coal
3654,coal
3655,hydro
3656,hydro
3657,hydro
3658,hydro
3659,hydro
3660,hydro
3661,hydro
3662,ng
3663,ng
3664,ng
3665,ng
3666,ng
3667,ng
3668,hydro
3669,hydro
3670,hydro
3671,hydro
3672,hydro
3673,dfo
3674,dfo
3675,hydro
3676,hydro
3677,coal
3678,coal
3679,coal
3680,coal
3681,ng
3682,ng
3683,hydro
3684,hydro
3685,hydro
3686,hydro
3687,hydro
3688,hydro
3689,hydro
3690,hydro
3691,hydro
3692,hydro
3693,hydro
3694,hydro
3695,hydro
3696,dfo
3697,dfo
3698,ng
3699,ng
3700,ng
3701,coal
3702,coal
3703,ng
3704,ng
3705,hydro
3706,hydro
3707,hydro
3708,hydro
3709,hydro
3710,hydro
3711,dfo
3712,dfo
3713,nuclear
3714,nuclear
3715,hydro
3716,hydro
3717,hydro
3718,hydro
3719,hydro
3720,hydro
3721,nuclear
3722,dfo
3723,dfo
3724,hydro
3725,dfo
3726,dfo
3727,dfo
3728,dfo
3729,dfo
3730,dfo
3731,dfo
3732,dfo
3733,dfo
3734,dfo
3735,dfo
3736,ng
3737,ng
3738,ng
3739,dfo
3740,dfo
3741,dfo
3742,dfo
3743,hydro
3744,hydro
3745,hydro
3746,hydro
3747,hydro
3748,hydro
3749,hydro
3750,ng
3751,ng
3752,ng
3753,ng
3754,hydro
3755,hydro
3756,hydro
3757,hydro
3758,hydro
3759,hydro
3760,hydro
3761,hydro
3762,hydro
3763,hydro
3764,hydro
3765,hydro
3766,ng
3767,ng
3768,ng
3769,ng
3770,hydro
3771,hydro
3772,hydro
3773,hydro
3774,ng
3775,hydro
3776,ng
3777,ng
3778,ng
3779,hydro
3780,hydro
3781,hydro
3782,hydro
3783,hydro
3784,ng
3785,ng
3786,ng
3787,ng
3788,dfo
3789,dfo
3790,dfo
3791,hydro
3792,hydro
3793,hydro
3794,hydro
3795,hydro
3796,hydro
3797,hydro
3798,dfo
3799,hydro
3800,hydro
3801,ng
3802,ng
3803,dfo
3804,ng
3805,ng
3806,dfo
3807,dfo
3808,coal
3809,coal
3810,coal
3811,coal
3812,dfo
3813,dfo
3814,dfo
3815,dfo
3816,dfo
3817,dfo
3818,dfo
3819,dfo
3820,ng
3821,ng
3822,dfo
3823,dfo
3824,dfo
3825,dfo
3826,dfo
3827,dfo
3828,ng
3829,ng
3830,ng
3831,ng
3832,ng
3833,ng
3834,solar
3835,hydro
3836,hydro
3837,hydro
3838,hydro
3839,hydro
3840,hydro
3841,hydro
3842,hydro
3843,hydro
3844,solar
3845,ng
3846,ng
3847,ng
3848,ng
3849,ng
3850,ng
3851,dfo
3852,dfo
3853,dfo
3854,dfo
3855,dfo
3856,dfo
3857,dfo
3858,dfo
3859,dfo
3860,dfo
3861,dfo
3862,dfo
3863,dfo
3864,hydro
3865,hydro
3866,dfo
3867,dfo
3868,dfo
3869,dfo
3870,dfo
3871,dfo
3872,hydro
3873,hydro
3874,hydro
3875,hydro
3876,hydro
3877,hydro
3878,hydro
3879,hydro
3880,hydro
3881,hydro
3882,hydro
3883,hydro
3884,hydro
3885,hydro
3886,hydro
3887,hydro
3888,hydro
3889,hydro
3890,hydro
3891,hydro
3892,hydro
3893,hydro
3894,dfo
3895,ng
3896,ng
3897,ng
3898,ng
3899,hydro
3900,hydro
3901,hydro
3902,dfo
3903,ng
3904,ng
3905,ng
3906,hydro
3907,hydro
3908,hydro
3909,hydro
3910,hydro
3911,hydro
3912,hydro
3913,hydro
3914,dfo
3915,dfo
3916,hydro
3917,hydro
3918,hydro
3919,solar
3920,solar
3921,hydro
3922,hydro
3923,hydro
3924,hydro
3925,hydro
3926,hydro
3927,ng
3928,ng
3929,ng
3930,ng
3931,ng
3932,ng
3933,hydro
3934,hydro
3935,hydro
3936,hydro
3937,hydro
3938,dfo
3939,dfo
3940,dfo
3941,dfo
3942,hydro
3943,hydro
3944,coal
3945,coal
3946,coal
3947,coal
3948,coal
3949,coal
3950,hydro
3951,hydro
3952,hydro
3953,hydro
3954,hydro
3955,hydro
3956,hydro
3957,hydro
3958,hydro
3959,coal
3960,coal
3961,ng
3962,ng
3963,ng
3964,ng
3965,ng
3966,hydro
3967,hydro
3968,hydro
3969,hydro
3970,hydro
3971,hydro
3972,hydro
3973,hydro
3974,hydro
3975,hydro
3976,hydro
3977,hydro
3978,hydro
3979,dfo
3980,dfo
3981,dfo
3982,hydro
3983,hydro
3984,coal
3985,coal
3986,coal
3987,ng
3988,ng
3989,ng
3990,ng
3991,ng
3992,coal
3993,ng
3994,ng
3995,ng
3996,ng
3997,ng
3998,ng
3999,solar
4000,coal
4001,coal
4002,coal
4003,coal
4004,ng
4005,ng
4006,ng
4007,solar
4008,coal
4009,coal
4010,coal
4011,solar
4012,solar
4013,coal
4014,solar
4015,hydro
4016,hydro
4017,hydro
4018,ng
4019,dfo
4020,dfo
4021,dfo
4022,dfo
4023,dfo
4024,dfo
4025,dfo
4026,dfo
4027,dfo
4028,dfo
4029,dfo
4030,dfo
4031,ng
4032,ng
4033,ng
4034,ng
4035,ng
4036,nuclear
4037,nuclear
4038,ng
4039,dfo
4040,dfo
4041,ng
4042,dfo
4043,dfo
4044,ng
4045,ng
4046,ng
4047,ng
4048,ng
4049,ng
4050,ng
4051,ng
4052,ng
4053,coal
4054,ng
4055,ng
4056,ng
4057,ng
4058,ng
4059,ng
4060,ng
4061,ng
4062,ng
4063,ng
4064,coal
4065,coal
4066,coal
4067,coal
4068,dfo
4069,dfo
4070,ng
4071,ng
4072,ng
4073,ng
4074,dfo
4075,dfo
4076,dfo
4077,dfo
4078,hydro
4079,hydro
4080,hydro
4081,hydro
4082,nuclear
4083,nuclear
4084,ng
4085,ng
4086,ng
4087,ng
4088,ng
4089,ng
4090,ng
4091,ng
4092,ng
4093,ng
4094,ng
4095,ng
4096,ng
4097,ng
4098,ng
4099,dfo
4100,dfo
4101,dfo
4102,dfo
4103,dfo
4104,dfo
4105,solar
4106,coal
4107,dfo
4108,dfo
4109,dfo
4110,dfo
4111,solar
4112,hydro
4113,hydro
4114,hydro
4115,hydro
4116,ng
4117,ng
4118,ng
4119,ng
4120,ng
4121,ng
4122,ng
4123,ng
4124,hydro
4125,hydro
4126,hydro
4127,hydro
4128,hydro
4129,hydro
4130,hydro
4131,ng
4132,ng
4133,ng
4134,ng
4135,ng
4136,ng
4137,ng
4138,ng
4139,ng
4140,ng
4141,ng
4142,solar
4143,ng
4144,ng
4145,ng
4146,ng
4147,ng
4148,dfo
4149,coal
4150,coal
4151,coal
4152,coal
4153,ng
4154,ng
4155,ng
4156,ng
4157,ng
4158,ng
4159,ng
4160,ng
4161,ng
4162,ng
4163,ng
4164,ng
4165,hydro
4166,hydro
4167,hydro
4168,hydro
4169,hydro
4170,hydro
4171,ng
4172,ng
4173,ng
4174,coal
4175,coal
4176,ng
4177,ng
4178,ng
4179,ng
4180,ng
4181,ng
4182,ng
4183,ng
4184,coal
4185,coal
4186,dfo
4187,dfo
4188,ng
4189,ng
4190,ng
4191,ng
4192,ng
4193,ng
4194,ng
4195,ng
4196,dfo
4197,dfo
4198,dfo
4199,dfo
4200,dfo
4201,dfo
4202,solar
4203,solar
4204,solar
4205,ng
4206,ng
4207,ng
4208,ng
4209,dfo
4210,ng
4211,ng
4212,ng
4213,ng
4214,ng
4215,dfo
4216,dfo
4217,ng
4218,dfo
4219,dfo
4220,dfo
4221,dfo
4222,dfo
4223,dfo
4224,dfo
4225,dfo
4226,dfo
4227,dfo
4228,dfo
4229,dfo
4230,ng
4231,ng
4232,ng
4233,ng
4234,ng
4235,ng
4236,ng
4237,ng
4238,ng
4239,coal
4240,ng
4241,ng
4242,ng
4243,ng
4244,ng
4245,ng
4246,ng
4247,ng
4248,ng
4249,ng
4250,ng
4251,ng
4252,coal
4253,coal
4254,ng
4255,ng
4256,ng
4257,dfo
4258,dfo
4259,dfo
4260,dfo
4261,coal
4262,coal
4263,ng
4264,ng
4265,ng
4266,ng
4267,dfo
4268,ng
4269,ng
4270,ng
4271,ng
4272,ng
4273,ng
4274,ng
4275,ng
4276,ng
4277,coal
4278,coal
4279,ng
4280,ng
4281,ng
4282,ng
4283,ng
4284,ng
4285,solar
4286,solar
4287,solar
4288,ng
4289,ng
4290,ng
4291,ng
4292,ng
4293,ng
4294,ng
4295,ng
4296,ng
4297,ng
4298,ng
4299,ng
4300,ng
4301,ng
4302,coal
4303,ng
4304,ng
4305,ng
4306,coal
4307,coal
4308,coal
4309,coal
4310,ng
4311,ng
4312,ng
4313,dfo
4314,dfo
4315,dfo
4316,dfo
4317,dfo
4318,dfo
4319,dfo
4320,dfo
4321,ng
4322,ng
4323,ng
4324,ng
4325,ng
4326,ng
4327,ng
4328,ng
4329,ng
4330,ng
4331,dfo
4332,dfo
4333,dfo
4334,dfo
4335,dfo
4336,dfo
4337,solar
4338,ng
4339,ng
4340,ng
4341,ng
4342,ng
4343,ng
4344,ng
4345,ng
4346,ng
4347,ng
4348,ng
4349,ng
4350,ng
4351,ng
4352,ng
4353,ng
4354,ng
4355,ng
4356,ng
4357,ng
4358,ng
4359,ng
4360,ng
4361,coal
4362,ng
4363,ng
4364,ng
4365,ng
4366,ng
4367,ng
4368,ng
4369,ng
4370,ng
4371,solar
4372,ng
4373,ng
4374,ng
4375,ng
4376,ng
4377,ng
4378,coal
4379,ng
4380,ng
4381,dfo
4382,dfo
4383,ng
4384,ng
4385,ng
4386,ng
4387,ng
4388,ng
4389,dfo
4390,dfo
4391,dfo
4392,dfo
4393,dfo
4394,dfo
4395,ng
4396,ng
4397,ng
4398,dfo
4399,dfo
4400,ng
4401,ng
4402,ng
4403,ng
4404,ng
4405,ng
4406,ng
4407,ng
4408,ng
4409,dfo
4410,dfo
4411,dfo
4412,dfo
4413,ng
4414,ng
4415,nuclear
4416,nuclear
4417,ng
4418,ng
4419,ng
4420,ng
4421,ng
4422,ng
4423,ng
4424,ng
4425,coal
4426,coal
4427,coal
4428,coal
4429,coal
4430,coal
4431,solar
4432,dfo
4433,dfo
4434,dfo
4435,dfo
4436,dfo
4437,dfo
4438,ng
4439,ng
4440,ng
4441,ng
4442,nuclear
